Biotsiidi kaubanduslik nimetus;Toimeaine;CAS nr.;Biotsiidi tooteliik;Biotsiidi registreerimistunnistuse kehtivuse aeg;Biotsiidi registreerimistunnistuse omanik;Toimeaine sisaldus;Märkused
KAPO - Kõikidele putukaliikidele;"1) Püretriinid ja püretroidid; 2) d-Tetrametriin; 3) 1R- trans-fenotriin; 4) Tsüpermetriin";"1) 8003-34-7; 2) 1166-46-7; 3) 26046-85-5; 4) 52315-07-8";Tooteliik 18;31.12.2024;Brunel Chimie Derives;"1) 0,1%; 2) 0,046%; 3) 0,052%; 4) 0,101%";"Tarbija kasutamiseks; 3) Komisjoni direktiiv 2013/41/EL; 4) Komisjoni rakendusmäärus (EL) 2018/1130"
Capatox;Kvaternaarsete bensüül-C12-16-alküüldimetüülammooniumiühendite kloriidid;68424-85-1;Tooteliik 10;31.12.2024;SIA Caparol Baltica Eesti filiaal;0,016;
Kapo - Herilased, vapsikud, parmud;"1) D-trans-tetrametriin; 2) 1R-trans-fenotriin";"1) 1166-46-7; 2) 26046-85-5";Tooteliik 18;31.12.2024;Brunel Chimie Derives;"1) 2,06 g/kg; 2) 2,00 g/kg";"Tarbija kasutamiseks; 2) Komisjoni direktiiv 2013/41/EL"
Melpool 63/G;Naatriumtrokloseen;2893-78-9;Tooteliik 2;31.12.2024;Melspring International b.v.;"100% ; (min 60% vaba Cl2)";Tavatarbija ja kutsealaseks kasutamiseks
Melpool 70/G;Kaltsiumhüpoklorit;7778-54-3;Tooteliik 2;1.01.2022;Melspring International b.v.;"100%; (min 70% vaba Cl2)";"Komisjoni rakendusmäärus (EL) 2017/1274; Liidu loa taotlus"
Melpool QAC-S;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2;31.12.2024;Melspring International b.v.;0,2;Tavatarbija ja kutsealaseks kasutamiseks
Melpool 70/20;Kaltsiumhüpoklorit;7778-54-3;Tooteliik 2;1.01.2022;Melspring International b.v.;"100%; (min 70% vaba Cl2)";"Komisjoni rakendusmäärus (EL) 2017/1274; Liidu loa taotlus"
Virakil O2;"1) Peräädikhape (valmistatud in situ) Lähteained: Naatriumperboraadi tetrahüdrtaat (CAS nr 10486-00-7) ning TAED (CAS nr 10543-57-4); 2) Kvaternaarsete bensüül-C12-14-alküüldimetüülammooniumiühendite kloriidid";"1) 79-21-0; 2) 85409-22-9";Tooteliik 3;31.12.2024;Ceva Sante Animale;"1) 0,040-0,055%; 2) 4%";Kutsealaseks kasutamiseks
Virakil NG;"1) Glutaraal; 2) Kvaternaarsete bensüül-C12-16-alküüldimetüülammooniumiühendite kloriidid";"1) 111-30-8; 2) 68424-85-1";Tooteliik 3;31.12.2024;Ceva Sante Animale;"1) 10,0%; 2) 34.06%";1) Komisjoni rakendusmäärus (EL) 2015/1759 (TL 2, 3, 4, 6, 11 ja 12)
KAPO - Pikaajalise toimega sääsetõrjevahend;Pralletriin;23031-36-9;Tooteliik 18;31.12.2024;Brunel Chimie Derives;"1,2%; Alates 2.03.2017:; 8,7 g/kg";Tavatarbija kasutamiseks
KAPO - Pikaajalise toimega sääsetõrjevahendi täitevedelik;Pralletriin;23031-36-9;Tooteliik 18;31.12.2024;Brunel Chimie Derives;"1,2%; Alates 2.03.2017:; 8,7 g/kg";Tavatarbija kasutamiseks
"Mosi-guard Natural Spray; Alates 21.10.2013:; Mosi-guard Natural® Extra Spray";"cis- ja trans-p-mentaan-3,8-diooli segu/tsitriodiool; Alates 02.08.2019; Eucalyptus citriodora õli, hüdraaditud, tsüklistatud";"42822-86-6; Alates 02.08.2019; 1245629-80-4";Tooteliik 19;31.12.2024;"Citrefine International Ltd; Alates 02.08.2019; Citrefine EU Limited";0,4;Tavatarbijale kasutamiseks
Aura Effekt AF;3-jodo-2-propünüülbutüülkarbamaat;55406-53-6;Tooteliik 7;31.12.2024;Eskaro AS;0,04;
Acticide® LV 706;"1) C12-16-alküüldimetüülbensüülammooniumkloriid; 2) 2-oktüül-2H-isotiasool-3-oon";"1) 68424-85-1; 2) 26530-20-1";Tooteliik 10, 11;31.12.2024;"Thor Specialities (UK) Limited; Alates 28.10.2019; THOR Specialities (UK) Ltd Filial;";"1) 27 g/kg; 2) 2,7 g/kg";"Tööstuslikuks kasutamiseks;"
Acticide® IOA;"1) 3-jodo-2-propünüülbutüülkarbamaat; 2) 2-oktüül-2H-isotiasool-3-oon";"1) 55406-53-6; 2) 26530-20-1";Tooteliik 6, 7, 9, 11, 13;31.12.2024;Thor Specialities (UK) Limited;"1) 100 g/kg; 2) 50 g/kg";"Tööstuslikuks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) nr 1037/2013 (TL6) ; 1) Komisjoni rakendusmäärus (EL) 2015/1728 (TL13);"
Acticide® CHR 0107;"1) 5-kloro-2-metüül-2H-isotiasool-3-ooni (Einecs 247-500-7) ja 2-metüül-2H-isotiasool-3-ooni (Einecs 220-239-6) segu; 2) Bronopool";"1) 55965-84-9; 2) 52-51-7";Tooteliik 6, 9, 11, 12;31.12.2024;Thor Specialities (UK) Limited;"1) 4,8 g/kg; 2) 150,0 g/kg";"Tööstuslikuks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/131 (TL2, 4, 6, 11, 12, 13)"
"Aura Biostop Aqua V ; värvitu ja värviline";"1) 3-jodo-2-propünüül-butüülkarbamaat; 2) Propikonasool; 3) Permetriin / m-fenoksübensüül-3-(2,2-diklorovinüül)-2,2-dimetüültsüklopropaankarboksülaat";"1) 55406-53-6; 2) 60207-90-1; 3) 52645-53-1";Tooteliik 8;1.05.2019;Eskaro AS;"1) 0,75%; 2) 0,24%; 3) 0,1%; Alates 18.08.2015; 1) 0,3% (3 g/kg); 2) 0,9% (9 g/kg); 3) 0,1% (1 g/kg)";"Tavatarbija ja kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni direktiiv 2008/79/EÜ; 2) Komisjoni direktiiv 2008/78/EÜ; 3) Komisjoni rakendusmäärus (EL) nr 1090/2014"
Melpool 90/200;Sümkloseen;87-90-1;Tooteliik 2;31.12.2024;Melspring International b.v.;"97,5%; (min 88% vaba kloori)";Tavatarbija ja kutsealaseks kasutamiseks
Melpool 50/20;Sümkloseen;87-90-1;Tooteliik 2;31.12.2024;Melspring International b.v.;0,55;Tavatarbija ja kutsealaseks kasutamiseks
Melpool MF/200;"1) Sümkloseen; 2) Vasksulfaat pentahüdraat";"1) 87-90-1; 2) 7758-99-8";Tooteliik 2;31.12.2024;Melspring International b.v.;"1) 90%; 2) 4%";"Tavatarbija ja kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) nr 1033/2013"
Sterillium®;"1) Propaan-2-ool; 2) Propaan-1-ool; 3) Metsetrooniumetüülsulfaat";"1) 67-63-0; 2) 71-23-8; 3) 3006-10-8";Tooteliik 1;31.12.2024;BODE Chemie GmbH;"1) 45,0%; 2) 30,0%; 3) 0,2%";"Kutsealaseks kasutamiseks; 1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4); 2) Komisjoni rakendusmäärus (EL) 2017/2001 (TL 1, 2, 4)"
"Ceresit CT 99; Ceresit CT 99 kontsentraat";"1) Didetsüüldimetüülammooniumkloriid; 2) 2-oktüül-2H-isotiasool-3-oon";"1) 7173-51-5; 2) 26530-20-1";Tooteliik 10;31.12.2024;Henkel Balti OÜ;"1) 0,6% ja 2,4%; 2) 0,01% ja 0,04%";
Vitasept Wipes;"Alates 25.07.2017:; 1) Propaan-2-ool; 2) Etanool; Enne:; 1) Propaan-2-ool; 2) Etanool; 3) C12–18-alküüldimetüülbensüülammooniumkloriid / C12–14-alküületüülbensüülammooniumkloriid";"Alates 25.07.2017; 1) 67-63-0; 2) 64-17-5; Enne:; 1) 67-63-0; 2) 64-17-5; 3) 68391-01-5 / 85409-23-0";"Tooteliik 1, 2, 4; Alates 25.07.2017:; Tooteliik 1, 2, 3, 4";31.12.2024;"Goodpoint Chemicals Ltd; Alates 25.07.2017; Goodpoint Chemicals OÜ";"Alates 25.07.2017:; 1) 60%; 2) 15%; Enne: ; 1) 60%; 2) 15%; 3) 0,2%";"Tavatarbija ja kutsealaseks kasutamiseks; 1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
FUNGI;"1) Tetrahüdro-1,3,4,6-tetrakis(hüdroksümetüül) imidaso[4,5-d]imidasool-2,5(1H,3H)-dioon; 2) 5-kloro-2-metüül-2H-isotiasool-3-ooni ja 2-metüül-2H-isotiasool-3-ooni segu; Alates 11.12.2015; 1) C12–16-alküüldimetüülbensüülammooniumkloriid (ADBAC/BKC (C12–16)); 2) 2-oktüül-2H-isotiasool-3-oon (OIT);";"1) 5395-50-6; 2) 55965-84-9; Alates 11.12.2015; 1) 68424-85-1; 2) 26530-20-1";"Tooteliik 2;";31.12.2024;SIA Vincents Polyline;"1) 0,365%; 2) 0,015%; Alates 11.12.2015; 1) 1,7%; 2) 0,4%;";Tavatarbijale kasutamiseks
"BROS - Pulber putukate tõrjeks; Alates 15.12.2014:; BROS Kärbsepulber";"1) Tetrametriin; 2) Tsüpermetriin; 3) Piperonüülbutoksiid (sünergist)";"1) 7696-12-0; 2) 52315-07-8; 3) 51-03-6";Tooteliik 18;31.12.2024;BROS Sp.j.;"1) 1%; 2) 5%; 3) 2%";"Tavatarbijale kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2018/1130; 3) Komisjoni rakendusmäärus (EL) 2016/2288 (TL18)"
Fungitrol® TOP;"1) 1-[[2-(2,4-diklorofenüül)-4-propüül-1,3-dioksolaan-2-üül]metüül]-1H-1,2,4-triasool/propikonasool; 2) Terbutriin; 3) 2-oktüül-2H-isotiasool-3-oon";"1) 60207-90-1; 2) 886-50-0; 3) 26530-20-1";Tooteliik 7, 10;31.12.2024;"ISP Biochema Schwaben GmbH; Alates 20.10.2015; Troy Chemical Company BV;";"1) 15%; 2) 10%; 3) 2,9%";"Kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) 2015/1609 (TL7)"
Cyclone;"Kvaternaarsete bensüül-C12-18-alküüldimetüül-ammooniumiühendite kloriidid / Kvaternaarsete C12-14-alküül[(etüülfenüül)metüül]dimetüülammooniumiühendite; kloriidid";"68391-01-5/; 85409-23-0";Tooteliik 2, 3, 4;31.12.2024;Goodpoint Chemicals Ltd;0,05;
"Hempel's Mille White ; 71150, 7115010000";"1) Tsinkpüritioon; 2) Vasktiotsüanaat";"1) 13463-41-7; 2) 1111-67-7";Tooteliik 21;31.12.2024;Hempel A/S;"1) 2,65%; 2) 20,40%";"Amatöör ja kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2016/1090 (TL 21)"
"Hempel's Antifouling Olympic 86951, 8695130170; 86951, 8695119990";Divaskoksiid;1317-39-1;Tooteliik 21;1.01.2021;Hempel A/S;"35,88%; 35,44%";"Tööstuslikuks kasutamiseks; Komisjoni rakendusmäärus (EL) 2016/1089; Taotlus vastastikuseks tunnustamiseks"
"Hempel's Hard Racing White; 76300, 7630010000";"1) Tsinkpüritioon; 2) Vasktiotsüanaat";"1) 13463-41-7; 2) 1111-67-7";Tooteliik 21;31.12.2024;Hempel A/S;"1) 2,64%; 2) 20,76%";"Amatöör ja kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2016/1090 (TL 21)"
"Hempel's Aluxtra; 71260, 7126010000; 71260, 7126019990";"1) Tsinkpüritioon; 2) Vasktiotsüanaat";"1) 13463-41-7; 2) 1111-67-7";Tooteliik 21;31.12.2024;Hempel A/S;"1) 3,92%; 3,81%; 2) 21,08%; 20,94%";"Amatöör ja kutsealaseks kasutamiseks; 2) Komisjoni rakendusmäärus (EL) 2016/1090 (TL 21)"
"Hempel's Antifouling Olympic + 72900-51110 (punane); Hempel's Antifouling Olympic + 72900-60600 (pruun); Hempel's Antifouling Olympic + 72950-51110 (punane); Hempel's Antifouling Olympic + 72950-60600 (pruun); Alates 6.12.2017; Hempel's Antifouling Olympic + 72900 (51110, 60600, 19990, 30170); Hempel's Antifouling Olympic + 72950 (51110, 60600, 19990, 30170); Hempel's Antifouling Oceanic 2000 72902 (51110, 60600, 19990, 30170); Hempel's Antifouling Oceanic 2000 72952 (51110, 60600, 19990, 30170)";"1) Tsineeb; 2) Divaskoksiid";"1) 12122-67-7; 2) 1317-39-1";Tooteliik 21;1.01.2021;Hempel A/S;"1) 6,93%; 6,78%; 3,99%; 7,02%; 2) 22,40%; 24,82%; 19,90%; 22,60%; Alates 19.11.2014; 1) 7,23-7,41%; 2) 22,19-22,75%; Alates 12.12.2017; 1) 117-119 g/l (6,9-7,5 w/w%); 2) 354-368 g/l (21,2-22,8 w/w%)";"Tööstuslikuks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) nr 92/2014; 2) Komisjoni rakendusmäärus (EL) 2016/1089"
San Alcalin;Naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;BouMatic Gascoigne Melotte;0,05;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Sani Wipes Hand;"1) Etanool; 2) D-glükoonhappe ja N,N″-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1)";"1) 64-17-5; 2) 18472-51-0";Tooteliik 1;31.12.2024;BouMatic Gascoigne Melotte;"1) 35%; 2) 0,75%";Kutsealaseks kasutamiseks
Chemisept R Wipes;"1) Propaan-2-ool / isopropanool; 2) Propaan-1-ool; 3) Kvaternaarsete C12-14-alküül[(etüülfenüül)metüül]dimetüülammooniumiühendite kloriidid/ Kvaternaarsete bensüül-C12-18-alküüldimetüülammooniumiühendite kloriidid";"1) 67-63-0; 2) 71-23-8; 3) 85409-23-0/; 68391-01-5";Tooteliik 1;31.12.2024;Chemi-Pharm AS;"1) 45,0%; 2) 30,0%; 3) 0,2%";"Kutsealaseks kasutamiseks; 1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4); 2) Komisjoni rakendusmäärus (EL) 2017/2001 (TL 1, 2, 4)"
Cyclone RTU;C12–18-alküüldimetüülbensüülammooniumkloriid / C12–14-alküületüülbensüülammooniumkloriid;68391-01-5 / 85409-23-0;Tooteliik 2, 3, 4;31.12.2024;"Goodpoint Chemicals Ltd; Alates 21.07.2017; Goodpoint Chemicals OÜ";0,025;Tarbija ja kutsealaseks kasutamiseks
"Hempel's Hard Racing Xtra; 71420, 7142010430; 71420, 7142019990; 71420, 7142030390; 71420, 7142031750; 71420, 7142051170;";Divaskoksiid;1317-39-1;Tooteliik 21;1.01.2021;Hempel A/S;33,37-40,20%;"Tarbija ja kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2016/1089"
"Hempel's Mille Xtra; 71100, 7110010160; 71100, 7110019990; 71100, 7110030390; 71100, 7110031750; 71100, 7110051170;";Divaskoksiid;1317-39-1;Tooteliik 21;1.01.2021;Hempel A/S;32,97-34,51%;"Tarbija ja kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; Komisjoni rakendusmäärus (EL) 2016/1089"
KAPO - Prussakad - Tarakanid;"1) Tetrametriin; 2) 1R-trans-fenotriin; 3) Tsüpermetriin;";"1) 7696-12-0; 2) 26046-85-5; 3) 52315-07-8";Tooteliik 18;31.12.2024;Brunel Chimie Derives;"1) 4,02 g/kg; 2) 2,59 g/kg; 3) 1,51 g/kg";"Tarbija kasutamiseks; 2) Komisjoni direktiiv 2013/41/EL; 3) Komisjoni rakendusmäärus (EL) 2018/1130"
Remisept S (Remmi 65 S);"1) Kvaternaarsete bensüül-C12-16-alküüldimetüülammooniumiühendite kloriidid; 2) propaan-2-ool";"1) 68424-85-1; 2) 67-63-0";Tooteliik 1;31.12.2024;BESUR OÜ;"1) 0,0125%; 2) 63%";"Kutsealaseks kasutamiseks; 2) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
Purell® Hand Sanitising Gel;Etanool;64-17-5;Tooteliik 1;31.12.2024;Gojo Industries Europe Ltd;0,7;Kutsealaseks kasutamiseks
4Hooves;"1) Didetsüüldimetüülammooniumkloriid; 2) Kvaternaarsete bensüül-C12-16-alküüldimetüülammooniumiühendite kloriidid";"1) 7173-51-5; 2) 68424-85-1";Tooteliik 3;31.12.2024;DeLaval;"1) 24,12%; 2) 16,08%";Kutsealaseks kasutamiseks
Circo Super AFM;naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;GEA Farm Technologies Sp.z.o.o.;5,5 g aktiivset kloori 100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
Circo Top AFM;naatriumhüpoklorit;7681-52-9;Tooteliik 4;1.01.2022;GEA Farm Technologies Sp.z.o.o.;5,2 g aktiivset kloori 100g;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusmäärus (EL) 2017/1273"
UCARCIDE™ 50 Antimicrobial;Glutaaraldehüüd;111-30-8;"Tooteliik 1, 2, 4, 6, 11, 12, 13; Alates 1.10.2016; Tooteliik 6, 11, 12 ";1.10.2019;"Dow Benelux B.V.; Alates 01.11.2018; DSP S.A.S.";0,5;"Kutsealaseks kasutamiseks; Liidu loa taotlus; Komisjoni rakendusotsus (2014/227/EU) (TL 1 ja 13 mitte heakskiitmise otsus); Komisjoni rakendusmäärus (EL) 2015/1759 (TL 2, 3, 4, 6, 11 ja 12)"
Polyphase P2020T;3-jodo-2-propünüülbutüülkarbamaat;55406-53-6;Tooteliik 7;31.12.2024;Troy Chemical Company BV;20 g/100g;Tööstuslikuks kasutamiseks
"Biotol E; Biotol Spray";"1) Kvaternaarsete bensüül-C12-16-alküüldimetüülammooniumiühendite kloriidid; 2) 2-oktüül-2H-isotiasool-3-oon";"1) 68424-85-1; 2) 26530-20-1";Tooteliik 10;31.12.2024;Eskaro AS;"1) 27%; 2,7%; 2) 3%; 0,3%";
Alcosan VT10;"Propaan-2-ool; Alates 14.08.12:; 1) Propaan-2-ool; 2) Didetsüüldimetüülammooniumkloriid";"67-63-0; Alates 14.08.12:; 1) 67-63-0; 2) 7173-51-5";Tooteliik 2, 4;31.12.2024;Diversey Polska Sp. z.o.o.;"250 g/kg; Alates 14.08.12:; 1) 250 g/kg; 2) 0,12 g/kg";"Kutsealaseks ja tööstuslikuks kasutamiseks; 1) Komisjoni reakendusmäärus (EL) 2015/407 (TL1, 2, 4)"
Soft Care Sensisept;"D-glükoonhappe ja N,N″-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1); Alates 10.04.2015; 1. D-glükoonhappe ja N,N′′-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend; 2. 2-fenoksüetanool;";"18472-51-0; Alates 10.04.2015; 1.18472-51-0; 2. 122-99-6";Tooteliik 1;31.12.2024;Diversey Polska Sp. z.o.o.;"30 g/kg; Alates 10.04.2015; 1. 2,9%; 2. 1,5%";Kutsealaseks ja tööstuslikuks kasutamiseks
Suma Bac D10;Kvaternaarsete bensüül-C12-16-alküüldimetüülammooniumiühendite kloriidid;68424-85-1;Tooteliik 2, 4;31.12.2024;Diversey Polska Sp. z.o.o.;70 g/kg;Kutsealaseks ja tööstuslikuks kasutamiseks
Suma Bac-conc D10 conc;"1)Kvaternaarsete bensüül-C12-16-alküüldimetüülammooniumiühendite kloriidid; 2) Didetsüüldimetüülammooniumkloriid";"1) 68424-85-1; 2) 7173-51-5";Tooteliik 2, 4;31.12.2024;Diversey Polska Sp. z.o.o.;"1) 49 g/kg; 2) 49,2 g/kg";Kutsealaseks ja tööstuslikuks kasutamiseks
Roheline kaitse;"1) Tebukonasool; 2) Permetriin; Alates 14.06.2016; 1) Tebukonasool ; 2) Permetriin ; 3) N-(3-aminopropüül)-N-dodetsüülpropaan-1,3-diamiin ;";"1) 107534-96-3; 2) 52645-53-1; Alates 14.06.2016; 1) 107534-96-3; 2) 52645-53-1; 3) 2372-82-9";Tooteliik 8;31.12.2024;Skandian Grupp OÜ;"1) 0,7%; 2) 0,03%; Alates 14.06.2016; 1) 0,7%; 2) 0,03%; 3) 0,2%";"Tarbija ja kutsealaseks kasutamiseks; 1) Komisjoni direktiiv 2008/86/EÜ; 2) Komisjoni rakendusmäärus (EL) nr 1090/2014"
KAPO Märguv pulber SIPELGAD;Atseetamipriid;135410-20-7 / 160430-64-8;Tooteliik 18;1.02.2020;Brunel Chimie Derives;2 g/kg;"Tarbija kasutamiseks; Komisjoni rakendusmäärus (EL) 2018/1129"
KAPO Kärbsed - 4 kleepuvat putukatõrjepaberit;Atseetamipriid;135410-20-7 / 160430-64-8;Tooteliik 18;1.02.2020;Brunel Chimie Derives;44 g/kg (7,3 mg/paberi kohta);"Tarbija kasutamiseks; Komisjoni rakendusmäärus (EL) 2018/1129"
KAPO Sipelgad - Geeljas sipelgate sööt;Naatriumdimetüülarsinaat;124-65-2;Tooteliik 18;31.12.2024;Brunel Chimie Derives;57,5 g/kg;Tavatarbija kasutamiseks
Nanospray Plus;D-glükoonhappe ja N,N″-bis(4-klorofenüül)-3,12-diimino-2,4,11,13-tetraasatetradekaandiamidiini ühend (2:1);18472-51-0;Tooteliik 3;31.12.2024;Remedium AS;0,0029;
"Gold Glycodip; Alates 6.08.2015; Gold Glycodip XL";"Jood ; Alates 6.08.2015; 1) Jood; 2) L-(+)-piimhape";"7553-56-2; Alates 6.08.2015; 1) 7553-56-2; 2) 79-33-4";Tooteliik 3;1.05.2019;Remedium AS;"0,6%; Alates 6.08.2015; 1) 0,5%; 2) 0,5%";"Tavatarbija ja kutsealaseks kasutamiseks; 1) Komisjoni rakendusmäärus (EL) nr 94/2014; 2) Komisjoni rakendusmäärus (EL) 2017/2002 (TL 2, 3, 4)"
"PERMAGUARD; Kirbuaerosool";"1) S-metopreen; 2) permetriin";"1) 65733-16-6; 2) 52645-53-1";Tooteliik 18;1.05.2019;Magnum Veterinaaria AS;"1) 0,1%; 2) 0,5%";"Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) nr. 91/2014; 2) Komisjoni rakendusmäärus (EL) nr 1090/2014"
LuxSpray 15;Jood;7553-56-2;Tooteliik 3;1.09.2018;GEA Farm Technologies Sp. z o.o.;0,0015;"Kutsealaseks kasutamiseks; Komisjoni rakendusmäärus (EL) nr 94/2014; Liidu loa taotlus"
LuxDip 25;Jood;7553-56-2;Tooteliik 3;1.09.2018;GEA Farm Technologies Sp. z o.o.;0,0025;"Kutsealaseks kasutamiseks; Komisjoni rakendusmäärus (EL) nr 94/2014; Liidu loa taotlus"
LuxDip 50B;Jood;7553-56-2;Tooteliik 3;1.09.2018;GEA Farm Technologies Sp. z o.o.;0,005;"Kutsealaseks kasutamiseks; Komisjoni rakendusmäärus (EL) nr 94/2014; Liidu loa taotlus"
VAPET Get Off my Garden Crystals;Undekaan-2-oon/metüülnonüülketoon;112-12-9;Tooteliik 19;20.09.2018;Barkwith Associates Limited;0,0166;"Komisjoni direktiiv 2012/14/EL; Vastastikuse tunnustamise taotlus tühistatud."
ACTISAN;Salitsüülhape;69-72-7;Tooteliik 3;31.12.2024;Timac Agro Estonia OÜ;0,04;Kutsealaseks kasutamiseks
"INTERSPEED 6400 BLACK - BQA649; INTERSPEED 6400 BLUE - BQA642; INTERSPEED 6400 RED - BQA644; INTERSPEED 6400 BROWN - BQA648";"1) tsineb / tsinketeen-1,2-bis-ditiokarbamaat ; 2) vask(I)oksiid";"1) 12122-67-7; 2) 1317-39-1";Tooteliik 21;1.01.2021;International Paint Ltd.;"1) 7-8 %; 2) 28-31 %";"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) nr 92/2014; 2) Komisjoni rakendusmäärus (EL) 2016/1089"
INTERSPEED 6200 - BQA624;"1) tsineb / tsinketeen-1,2-bis-ditiokarbamaat ; 2) vask(I)oksiid";"1) 12122-67-7; 2) 1317-39-1";Tooteliik 21;1.01.2021;International Paint Ltd.;"1) 4,3 %; 2) 17,7 %";"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) nr 92/2014; 2) Komisjoni rakendusmäärus (EL) 2016/1089"
"Interswift 6800HS - BMA688; Interswift 6800HS - BMA684; Alates 23.11.2011:; Interswift 6800HS - BMA688; Interswift 6800HS - BMA684; Interswift 6800HS - BMA689";"1) Divaskoksiid; 2) Bis(1-hüdroksü-1H-püridiin-2-tionato-O,S)vask";"1) 1317-39-1; 2) 14915-37-8";Tooteliik 21;1.01.2021;International Paint Ltd.;"1) 728,9 - 737,49 g/l ; 2) 77,7 - 78,31 g/l";"Kutsealaseks kasutamiseks; Taotlus vastastikuseks tunnustamiseks; 1) Komisjoni rakendusmäärus (EL) 2016/1089; 2) Komisjoni rakendusmäärus (EL) 2015/419"
Sanosil S006 Ag;"1) Vesinikperoksiid; 2) Hõbe";"1) 7722-84-1; 2) 7440-22-4";Tooteliik 2, 4, 5, 11;31.12.2024;Diagnostica Baltica OÜ;"1) 3%; 2) 0,006%";1) Komisjoni rakendusmäärus (EL) 2015/1730 (TL 1, 2, 3, 4, 5, 6)
Peststop Combi 8 CS;"1) Tsüpermetriin; 2) Piperonüülbutoksiid; 3) Permetriin";"1) 52315-07-8; 2) 51-03-6; 3) 52645-53-1";Tooteliik 18;1.06.2020;Patrix Capital OÜ;"1) 2,6%; 2) 7,6%; 3) 5,9%";"1) Komisjoni rakendusmäärus (EL) 2018/1130; 2) Komisjoni rakendusmäärus (EL) 2016/2288 (TL18) ; 3) Komisjoni rakendusmäärus (EL) nr 1090/2014 (TL8, 18)"
GLOBAQUAT;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2, 3, 4;31.12.2024;Goodpoint Chemicals OÜ;0,09;
GLOBAQUAT FORTE;Didetsüüldimetüülammooniumkloriid;7173-51-5;Tooteliik 2, 3, 4;31.12.2024;Goodpoint Chemicals OÜ;0,09;Tavatarbija ja kutsealaseks kasutamiseks
BROS putukatõrje plaat, esbiotriin 11 [g/täiteplaadi kohta];Esbiotriin;260359-57-7;Tooteliik 18;31.12.2024;BROS Sp.j.;0,2751;
"BROS elektriline sääsetõrjuja vedelikuga, laste kaitsmiseks; BROS vedelik elektrilisele sääsetõrjujale, laste kaitsmiseks";Pralletriin;23031-36-9;Tooteliik 18;31.12.2024;BROS Sp.j.;0,01;Tavatarbijale kasutamiseks
"BROS elektriline sääsetõrjuja plaatidega, laste kaitsmiseks; BROS plaadid elektrilisele sääsetõrjujale, laste kaitsmiseks";"Esbiotriin ;";260359-57-7;Tooteliik 18;31.12.2024;BROS Sp.j.;0,0247;Tavatarbijale kasutamiseks
Virkon® S;Pentakaaliumbis(peroksümonosulfaat)bis(sulfaat);70693-62-8;Tooteliik 3, 4, 5;31.12.2024;"Antec International Limited – A DuPont Company; Alates 12.06.2015:; Antec International Limited; Alates 12.02.2019:; Lanxess Deutschland GmbH";497 g/kg;Kutsealaseks ja tööstuslikuks kasutamiseks
BROS Universaalne aerosool;"1) Pralletriin; 2) d-fenotriin; 3) Piperonüülbutoksiid";"1) 23031-36-9; 2) 26046-85-5; 3) 51-03-6";Tooteliik 18;31.12.2024;BROS Sp.j.;"1. 0,09%; 2. 0,1%; 3. 0,45%";"2) Komisjoni direktiiv 2013/41/EL; 3) Komisjoni rakendusmäärus (EL) 2016/2288 (TL18)"
